draft_num	pick_num	human_pick	RandomBot	RaredraftBot	ClassicBot	NNetBot
8	42	Viashino_Pyromancer	0	1	1	1
8	43	Smelt	0	1	0	1
8	44	Viashino_Pyromancer	1	1	1	1
8	45	Island_2	1	1	1	1
9	1	Diregraf_Ghoul	0	0	0	0
9	2	Ravenous_Harpy	0	1	0	0
9	3	Phylactery_Lich	0	1	0	1
9	4	Mind_Rot	0	0	0	0
9	5	Viashino_Pyromancer	0	0	0	0
9	6	Stitcher's_Supplier	0	1	0	0
9	7	Abnormal_Endurance	0	0	0	0
9	8	Blood_Divination	0	1	0	0
9	9	Desecrated_Tomb	0	1	0	0
9	10	Cinder_Barrens	0	0	0	0
9	11	Act_of_Treason	1	1	0	0
9	12	Apex_of_Power	0	1	0	0
9	13	Cinder_Barrens	0	0	0	0
9	14	Bogstomper	1	1	1	1
9	15	Wall_of_Vines	1	1	1	1
9	16	Volley_Veteran	0	0	0	0
9	17	Volley_Veteran	0	1	0	0
9	18	Guttersnipe	0	0	0	0
9	19	Doomed_Dissenter	0	0	0	0
9	20	Guttersnipe	1	0	0	0
9	21	Viashino_Pyromancer	0	0	0	0
9	22	Onakke_Ogre	0	0	0	0
9	23	Act_of_Treason	1	0	0	0
9	24	Sovereign's_Bite	0	1	0	0
9	25	Tormenting_Voice	0	0	0	0
9	26	Lava_Axe	0	1	0	0
9	27	Lava_Axe	0	1	0	0
9	28	Suncleanser	0	1	0	1
9	29	Alpine_Moon	1	1	0	0
9	30	Mountain_1	1	1	1	1
9	31	Shock	0	0	0	0
9	32	Lightning_Mare	0	0	0	0
9	33	Lich's_Caress	0	0	1	1
9	34	Strangling_Spores	0	0	0	1
9	35	Lich's_Caress	0	0	1	1
9	36	Inferno_Hellion	0	1	0	0
9	37	Skymarch_Bloodletter	0	0	0	0
9	38	Goblin_Instigator	0	0	0	0
9	39	Crash_Through	0	0	0	0
9	40	Sovereign's_Bite	0	0	0	0
9	41	Mistcaller	1	1	0	0
9	42	Goblin_Motivator	0	1	0	0
9	43	Mind_Rot	1	1	0	1
9	44	Duress	0	1	1	0
9	45	Timber_Gorge	1	1	1	1
10	1	Reclamation_Sage	0	0	0	0
10	2	Colossal_Dreadmaw	1	0	0	0
10	3	Manalith	0	0	0	0
10	4	Draconic_Disciple	0	1	0	0
10	5	Colossal_Dreadmaw	1	0	0	0
10	6	Onakke_Ogre	0	0	0	0
10	7	Giant_Spider	0	0	0	0
10	8	Greenwood_Sentinel	0	0	0	0
10	9	Colossal_Dreadmaw	0	0	0	0
10	10	Plummet	0	1	0	0
10	11	Duress	0	0	1	0
10	12	Giant_Spider	1	1	0	0
10	13	Fraying_Omnipotence	1	1	0	0
10	14	Amulet_of_Safekeeping	1	1	1	1
10	15	Swamp_2	1	1	1	1
10	16	Lightning_Strike	0	0	1	0
10	17	Rabid_Bite	0	0	0	0
10	18	Ghastbark_Twins	0	1	0	0
10	19	Electrify	0	0	0	0
10	20	Rabid_Bite	0	0	0	0
10	21	Colossal_Majesty	0	1	0	0
10	22	Wall_of_Vines	0	0	0	0
10	23	Crash_Through	0	0	0	0
10	24	Titanic_Growth	0	0	0	0
10	25	Invoke_the_Divine	0	0	0	1
10	26	Greenwood_Sentinel	0	1	0	0
10	27	Timber_Gorge	0	0	0	0
10	28	Cinder_Barrens	1	1	0	0
10	29	Elvish_Rejuvenator	0	0	0	0
10	30	Mountain_1	1	1	1	1
10	31	Pelakka_Wurm	0	1	0	0
10	32	Sarkhan's_Unsealing	0	1	1	0
10	33	Gift_of_Paradise	0	0	0	0
10	34	Bristling_Boar	0	0	0	0
10	35	Tormenting_Voice	0	0	0	0
10	36	Rhox_Oracle	0	0	0	0
10	37	Foul_Orchard	1	0	0	0
10	38	Bristling_Boar	0	1	0	0
10	39	Manalith	0	0	0	0
10	40	Elvish_Rejuvenator	0	1	0	0
10	41	Woodland_Stream	0	0	0	0
10	42	Talons_of_Wildwood	0	1	0	0
10	43	Knight_of_the_Tusk	0	1	0	0
10	44	Knight_of_the_Tusk	1	1	1	1
10	45	Infectious_Horror	1	1	1	1
11	1	Valiant_Knight	0	1	1	1
11	2	Regal_Bloodlord	0	0	1	0
11	3	Angel_of_the_Dawn	0	0	1	1
11	4	Invoke_the_Divine	0	0	0	0
11	5	Child_of_Night	0	0	0	0
11	6	Centaur_Courser	0	0	1	1
11	7	Two-Headed_Zombie	0	0	1	0
11	8	Guttersnipe	0	1	0	0
11	9	Catalyst_Elemental	0	1	0	0
11	10	Trumpet_Blast	0	0	0	0
11	11	Boggart_Brute	0	1	0	0
11	12	Havoc_Devils	1	1	0	0
11	13	Sovereign's_Bite	0	1	1	0
11	14	Oakenform	1	1	1	1
11	15	Island_3	1	1	1	1
11	16	Guttersnipe	0	0	0	0
11	17	Electrify	0	0	0	0
11	18	Viashino_Pyromancer	0	0	0	0
11	19	Dragon_Egg	0	0	0	0
11	20	Novice_Knight	0	1	0	0
11	21	Goblin_Instigator	0	0	0	0
11	22	Inferno_Hellion	0	1	0	0
11	23	Trumpet_Blast	0	0	0	0
11	24	Smelt	0	0	0	0
11	25	Trumpet_Blast	1	1	0	1
11	26	Trumpet_Blast	0	0	0	0
11	27	Invoke_the_Divine	0	1	1	0
11	28	Frilled_Sea_Serpent	0	1	1	1
11	29	Daggerback_Basilisk	0	1	1	1
11	30	Island_3	1	1	1	1
11	31	Inspired_Charge	0	0	0	0
11	32	Hieromancer's_Cage	1	0	0	0
11	33	Skyscanner	0	0	0	0
11	34	Lightning_Strike	0	1	1	0
