human_pick	RandomBot	RaredraftBot	ClassicBot	NNetBot
Psychic_Symbiont	0.19626168224299065	0.6728971962616822	0.48598130841121495	0.5607476635514018
Rabid_Bite	0.09876543209876543	0.04938271604938271	0.5308641975308642	0.5555555555555556
Ravenous_Harpy	0.125	0.6	0.6	0.475
Reassembling_Skeleton	0.06666666666666667	0.5111111111111111	0.37777777777777777	0.5111111111111111
Reclamation_Sage	0.1	0.7	0.7	0.5
Recollect	0.14545454545454545	0.7090909090909091	0.45454545454545453	0.2909090909090909
Regal_Bloodlord	0.13580246913580246	0.5802469135802469	0.43209876543209874	0.4444444444444444
Reliquary_Tower	0.4745762711864407	0.8305084745762712	0.288135593220339	0.559322033898305
Remorseful_Cleric	0.0	1.0	0.5454545454545454	0.6363636363636364
Resplendent_Angel	0.1111111111111111	1.0	0.9444444444444444	0.8888888888888888
Revitalize	0.2684563758389262	0.5704697986577181	0.3422818791946309	0.4899328859060403
Rhox_Oracle	0.14285714285714285	0.21674876847290642	0.5960591133004927	0.4039408866995074
Rise_from_the_Grave	0.08333333333333333	0.4583333333333333	0.2708333333333333	0.3541666666666667
Rogue's_Gloves	0.06666666666666667	0.6222222222222222	0.13333333333333333	0.24444444444444444
Root_Snare	0.4659090909090909	0.7272727272727273	0.6022727272727273	0.5852272727272727
Runic_Armasaur	0.041666666666666664	1.0	0.5	0.6666666666666666
Rupture_Spire	0.11320754716981132	0.6792452830188679	0.20754716981132076	0.16981132075471697
Rustwing_Falcon	0.28125	0.4625	0.38125	0.46875
Sai_Master_Thopterist	0.0	1.0	0.5714285714285714	0.7142857142857143
Salvager_of_Secrets	0.18518518518518517	0.2222222222222222	0.4074074074074074	0.3425925925925926
Sarkhan's_Unsealing	0.09090909090909091	1.0	1.0	0.8181818181818182
Sarkhan_Fireblood	0.0	1.0	0.5454545454545454	1.0
Satyr_Enchanter	0.3076923076923077	0.8615384615384616	0.46153846153846156	0.4153846153846154
Scapeshift	0.35	1.0	0.3	0.55
Scholar_of_Stars	0.17532467532467533	0.3116883116883117	0.3116883116883117	0.2987012987012987
Shield_Mare	0.1111111111111111	0.4444444444444444	0.18518518518518517	0.3333333333333333
Shock	0.0975609756097561	0.016260162601626018	0.4065040650406504	0.5365853658536586
Siegebreaker_Giant	0.030303030303030304	0.48484848484848486	0.3939393939393939	0.42424242424242425
Sift	0.0	0.5428571428571428	0.4	0.4857142857142857
Sigiled_Sword_of_Valeron	0.05555555555555555	1.0	0.8888888888888888	1.0
Skeleton_Archer	0.08743169398907104	0.1366120218579235	0.3770491803278688	0.5355191256830601
Skilled_Animator	0.07142857142857142	0.5714285714285714	0.5	0.38095238095238093
